id,claim,type,verifier,status
C01,"US nominal GDP ~$30.5-30.8T vs China ~$19.2-19.6T (2025); US ~1.5-1.6x larger nominal; China larger on PPP (Statista; StatisticsTimes; PIIE)",CITE,citation_audit.md,SOURCED-PENDING
C02,"China fell from ~77% of US nominal GDP (2021) to ~65% (2026); growth ~4.4-5% vs US ~1.6-2.5%; China population peaked 2022 (Euronews; NextBigFuture; StatsPanda)",CITE,citation_audit.md,SOURCED-PENDING
C03,"Acemoglu task-framework estimate: AI ~0.5-0.7% TFP over a decade vs McKinsey/Goldman 1.5-3.4%/yr; 2025 experimental work finds per-task gains ~3x Acemoglu's 27% parameter (NBER w32487; arXiv 2512.21316)",CITE,citation_audit.md,CONTESTED-MAGNITUDE
C04,"OpenResearch UBI ($1k/mo for 3yr): recipients stayed employed, worked slightly fewer hours, spent more on needs; well-being not clearly improved (Bloomberg; Fortune 2024)",CITE,citation_audit.md,SOURCED-PENDING
C05,"Alaska Permanent Fund (1976) pays an annual dividend; Bruenig ""American Solidarity Fund"" social-wealth-fund proposal (People's Policy Project; Jacobin; The Intercept)",CITE,citation_audit.md,SOURCED-PENDING
C06,"World/Worldcoin launched 2023 with crypto-UBI framing; pivoted to enterprise proof-of-humanity by 2026, dropping the UBI goal (Biometric Update; AMBCrypto)",CITE,citation_audit.md,SOURCED-PENDING
C07,"Renewal prescription: social wealth fund + universal basic dividend + land value tax as the ""plug"" for wealth's escape into equities/land; each component carries its own counter-view",ARGUMENT,counter-view stated inline,OPEN-ARGUMENT
C08,Recursive robotics/automation loop compounds toward falling unit labor costs,FORECAST,"signpost: by 2031 — mfg unit-labor-cost + TFP threshold [numbers TBD]",OPEN-UNVERIFIED
C09,Governance thesis: AI-driven abundance is net democracy-preserving,ARGUMENT,paired counter-claim C10,OPEN-UNVERIFIED / CONTESTED
C10,"Governance counter-claim (entered at equal prominence): AI-driven abundance enables techno-authoritarian concentration of power",ARGUMENT,paired claim C09,OPEN-UNVERIFIED / CONTESTED
C11,"Automated reshoring is the most durable path to sovereign, cost-competitive industrial capacity for a high-wage democracy: US wages won't fall enough to make manual domestic manufacturing competitive and offshoring cedes the base to a strategic rival, so automated domestic capacity is the only mix at once domestic, cheap, and adversary-independent — counter-view: subsidy/tariff reshoring (CHIPS Act/IRA) builds only behind a permanent cost wall, allied friend-shoring depends on partners' goodwill, high-value-design comparative advantage cedes the physical base; catch: sovereign cheap capacity is necessary but not sufficient (narrow ownership + no worker income → collapsed domestic demand → instability)",ARGUMENT,counter-view stated inline,OPEN-ARGUMENT
